activity_code,exercise_name,mets,source,source_url
02032,サーキットトレーニング：自重トレーニング,6.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02034,サーキットトレーニング：楽な労力,3.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02035,サーキットトレーニング：ほどほどの労力,5.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02040,サーキットトレーニング：ケトルベルを含む、短時間の休息を含む有酸素運動、全般、きつい強度,7.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02045,カーブスの所定のトレーニング,3.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02048,エリプティカルトレーナー(ペダルを踏むと足が楕円形を描くように作られている運動器具)：ほどほどの労力,5.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02049,エリプティカルトレーナー(ペダルを踏むと足が楕円形を描くように作られている運動器具)：きつい労力,9.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02050,レジスタンストレーニング(ウェイトリフティング、フリーウェイト、マシーンの使用）、パワーリフティング、 ボディービルディング、きつい労力,6.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02052,レジスタンス(ウェイト)トレーニング：スクワット、ゆっくりあるいは瞬発的な努力で,5.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02054,レジスタンス(ウェイト)トレーニング：複合的エクササイズ、様々な種類のレジスタンストレーニングを8-15回繰 り返す,3.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02055,レジスタンス(ウェイト)トレーニング：サーキット、レシプロカル、抹消心肺機能(PHA)トレーニング,5.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02056,自重トレーニング：スクワット、ランジ、腕立て伏せ、クランチなど、全般,3.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02057,自重トレーニング：スクワット、ランジ、腕立て伏せ、クランチなど、高強度,6.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02058,ケトルベルスウィング,9.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02060,フィットネスクラブでの運動：全般,5.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02061,フィットネスクラブでの運動：全般、体操やウェイトトレーニングを組み合わせた1回あたりに行う運動,5.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02062,フィットネスクラブでの運動：コンディショニング教室,7.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02064,家庭での運動：全般,3.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02065,ステアートレッドミルエルゴメータ(階段昇りの運動)：全般,9.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02068,なわとび：全般,11.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02069,なわとび、デジジャンプマシン、120回/分,9.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02070,ボート漕ぎ：ローイングエルゴメータ、全般、きつい労力,7.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02071,ボート漕ぎ：ローイングエルゴメータ、100ワット未満、ほどほどの労力,5.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02072,ボート漕ぎ：ローイングエルゴメータ、100-149ワット、きつい労力,7.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02073,ボート漕ぎ：ローイングエルゴメータ、150-199ワット、きつい労力,11.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02074,ボート漕ぎ：ローイングエルゴメータ、200ワット以上、非常にきつい労力,14.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02078,シャトルラン：前後方向、横方向,11.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02080,スキーマシーンを用いた運動：全般,6.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02082,スキーエルゴメータ、クロスカントリー、ダブルポーリング走法、ゆっくりからほどほどの速さ,10.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02084,スキーエルゴメータ、クロスカントリー、ダブルポーリング走法、速いから最大速度,18.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02085,スライドボードを用いた運動：全般,10.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02090,スリムナスティックス(低インパクトの有酸素性運動)、ジャザサイズ(ジャズダンスを用いたエクササイズ),6.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02101,ストレッチ：ゆったり,2.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
